Channel_Name,Output,Type,Channel_Label,Type,Group
Foyer Temperature 3.6 m Below Ceiling,Foyer,Temperature,3.6 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 3.9 m Below Ceiling,Foyer,Temperature,3.9 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 4.2 m Below Ceiling,Foyer,Temperature,4.2 m Below Ceiling,Temperature,Foyer_Temperature
Foyer Temperature 4.5 m Below Ceiling,Foyer,Temperature,4.5 m Below Ceiling,Temperature,Foyer_Temperature
Dining Temperature 0.02 m Below Ceiling,Dining,Temperature,0.02 m Below Ceiling,Temperature,Dining_Temperature
Dining Temperature 0.3 m Below Ceiling,Dining,Temperature,0.3 m Below Ceiling,Temperature,Dining_Temperature
Dining Temperature 0.6 m Below Ceiling,Dining,Temperature,0.6 m Below Ceiling,Temperature,Dining_Temperature
Dining Temperature 0.9 m Below Ceiling,Dining,Temperature,0.9 m Below Ceiling,Temperature,Dining_Temperature
Dining Temperature 1.2 m Below Ceiling,Dining,Temperature,1.2 m Below Ceiling,Temperature,Dining_Temperature
Dining Temperature 1.5 m Below Ceiling,Dining,Temperature,1.5 m Below Ceiling,Temperature,Dining_Temperature
Dining Temperature 1.8 m Below Ceiling,Dining,Temperature,1.8 m Below Ceiling,Temperature,Dining_Temperature
Dining Temperature 2.1 m Below Ceiling,Dining,Temperature,2.1 m Below Ceiling,Temperature,Dining_Temperature
Laundry Temperature 0.02 m Below Ceiling,Laundry,Temperature,0.02 m Below Ceiling,Temperature,Laundry_Temperature
Laundry Temperature 0.3 m Below Ceiling,Laundry,Temperature,0.3 m Below Ceiling,Temperature,Laundry_Temperature
Laundry Temperature 0.6 m Below Ceiling,Laundry,Temperature,0.6 m Below Ceiling,Temperature,Laundry_Temperature
Laundry Temperature 0.9 m Below Ceiling,Laundry,Temperature,0.9 m Below Ceiling,Temperature,Laundry_Temperature
Laundry Temperature 1.2 m Below Ceiling,Laundry,Temperature,1.2 m Below Ceiling,Temperature,Laundry_Temperature
Laundry Temperature 1.5 m Below Ceiling,Laundry,Temperature,1.5 m Below Ceiling,Temperature,Laundry_Temperature
Laundry Temperature 1.8 m Below Ceiling,Laundry,Temperature,1.8 m Below Ceiling,Temperature,Laundry_Temperature
Laundry Temperature 2.1 m Below Ceiling,Laundry,Temperature,2.1 m Below Ceiling,Temperature,Laundry_Temperature
Kitchen Temperature 0.02 m Below Ceiling,Kitchen,Temperature,0.02 m Below Ceiling,Temperature,Kitchen_Temperature
Kitchen Temperature 0.3 m Below Ceiling,Kitchen,Temperature,0.3 m Below Ceiling,Temperature,Kitchen_Temperature
Kitchen Temperature 0.6 m Below Ceiling,Kitchen,Temperature,0.6 m Below Ceiling,Temperature,Kitchen_Temperature
Kitchen Temperature 0.9 m Below Ceiling,Kitchen,Temperature,0.9 m Below Ceiling,Temperature,Kitchen_Temperature
Kitchen Temperature 1.2 m Below Ceiling,Kitchen,Temperature,1.2 m Below Ceiling,Temperature,Kitchen_Temperature
Kitchen Temperature 1.5 m Below Ceiling,Kitchen,Temperature,1.5 m Below Ceiling,Temperature,Kitchen_Temperature
Kitchen Temperature 1.8 m Below Ceiling,Kitchen,Temperature,1.8 m Below Ceiling,Temperature,Kitchen_Temperature
Kitchen Temperature 2.1 m Below Ceiling,Kitchen,Temperature,2.1 m Below Ceiling,Temperature,Kitchen_Temperature
Front Door Temperature 1.71 m Above Floor,Front Door,Temperature,1.71 m Above Floor,Temperature,Front_Door_Temperature
Front Door Velocity 1.71 m Above Floor,Front Door,Velocity,1.71 m Above Floor,Velocity,Front_Door_Velocity
Front Door Temperature 1.37 m Above Floor,Front Door,Temperature,1.37 m Above Floor,Temperature,Front_Door_Temperature
Front Door Velocity 1.37 m Above Floor,Front Door,Velocity,1.37 m Above Floor,Velocity,Front_Door_Velocity
Front Door Temperature 1.03 m Above Floor,Front Door,Temperature,1.03 m Above Floor,Temperature,Front_Door_Temperature
Front Door Velocity 1.03 m Above Floor,Front Door,Velocity,1.03 m Above Floor,Velocity,Front_Door_Velocity
Front Door Temperature 0.68 m Above Floor,Front Door,Temperature,0.68 m Above Floor,Temperature,Front_Door_Temperature
Front Door Velocity 0.68 m Above Floor,Front Door,Velocity,0.68 m Above Floor,Velocity,Front_Door_Velocity
Front Door Temperature 0.34 m Above Floor,Front Door,Temperature,0.34 m Above Floor,Temperature,Front_Door_Temperature
Front Door Velocity 0.34 m Above Floor,Front Door,Velocity,0.34 m Above Floor,Velocity,Front_Door_Velocity
Bedroom 1 Pressure 0.3 m Below Ceiling,Bedroom 1,Pressure,0.3 m Below Ceiling,Pressure,Bedroom_1_Pressure
Bedroom 1 Pressure 1.2 m Below Ceiling,Bedroom 1,Pressure,1.2 m Below Ceiling,Pressure,Bedroom_1_Pressure
Bedroom 1 Pressure 2.1 m Below Ceiling,Bedroom 1,Pressure,2.1 m Below Ceiling,Pressure,Bedroom_1_Pressure
Bedroom 1 Temperature 0.02 m Below Ceiling,Bedroom 1,Temperature,0.02 m Below Ceiling,Temperature,Bedroom_1_Temperature
Bedroom 1 Temperature 0.3 m Below Ceiling,Bedroom 1,Temperature,0.3 m Below Ceiling,Temperature,Bedroom_1_Temperature
Bedroom 1 Temperature 0.6 m Below Ceiling,Bedroom 1,Temperature,0.6 m Below Ceiling,Temperature,Bedroom_1_Temperature
Bedroom 1 Temperature 0.9 m Below Ceiling,Bedroom 1,Temperature,0.9 m Below Ceiling,Temperature,Bedroom_1_Temperature
Bedroom 1 Temperature 1.2 m Below Ceiling,Bedroom 1,Temperature,1.2 m Below Ceiling,Temperature,Bedroom_1_Temperature
Bedroom 1 Temperature 1.5 m Below Ceiling,Bedroom 1,Temperature,1.5 m Below Ceiling,Temperature,Bedroom_1_Temperature
Bedroom 1 Temperature 1.8 m Below Ceiling,Bedroom 1,Temperature,1.8 m Below Ceiling,Temperature,Bedroom_1_Temperature
Bedroom 1 Temperature 2.1 m Below Ceiling,Bedroom 1,Temperature,2.1 m Below Ceiling,Temperature,Bedroom_1_Temperature
Window J Temperature 1.2 m Above Sill,Window J,Temperature,1.2 m Above Sill,Temperature,Window_J_Temperature
Window J Velocity 1.2 m Above Sill,Window J,Velocity,1.2 m Above Sill,Velocity,Window_J_Velocity
Window J Temperature 0.96 m Above Sill,Window J,Temperature,0.96 m Above Sill,Temperature,Window_J_Temperature
Window J Velocity 0.96 m Above Sill,Window J,Velocity,0.96 m Above Sill,Velocity,Window_J_Velocity
Window J Temperature 0.72 m Above Sill,Window J,Temperature,0.72 m Above Sill,Temperature,Window_J_Temperature
Window J Velocity 0.72 m Above Sill,Window J,Velocity,0.72 m Above Sill,Velocity,Window_J_Velocity
Window J Temperature 0.48 m Above Sill,Window J,Temperature,0.48 m Above Sill,Temperature,Window_J_Temperature
Window J Velocity 0.48 m Above Sill,Window J,Velocity,0.48 m Above Sill,Velocity,Window_J_Velocity
Window J Temperature 0.24 m Above Sill,Window J,Temperature,0.24 m Above Sill,Temperature,Window_J_Temperature
Window J Velocity 0.24 m Above Sill,Window J,Velocity,0.24 m Above Sill,Velocity,Window_J_Velocity
Bedroom 2 Pressure 0.3 m Below Ceiling,Bedroom 2,Pressure,0.3 m Below Ceiling,Pressure,Bedroom_2_Pressure
Bedroom 2 Pressure 1.2 m Below Ceiling,Bedroom 2,Pressure,1.2 m Below Ceiling,Pressure,Bedroom_2_Pressure
Bedroom 2 Pressure 2.1 m Below Ceiling,Bedroom 2,Pressure,2.1 m Below Ceiling,Pressure,Bedroom_2_Pressure
Bedroom 2 Temperature 0.02 m Below Ceiling,Bedroom 2,Temperature,0.02 m Below Ceiling,Temperature,Bedroom_2_Temperature
Bedroom 2 Temperature 0.3 m Below Ceiling,Bedroom 2,Temperature,0.3 m Below Ceiling,Temperature,Bedroom_2_Temperature
Bedroom 2 Temperature 0.6 m Below Ceiling,Bedroom 2,Temperature,0.6 m Below Ceiling,Temperature,Bedroom_2_Temperature
Bedroom 2 Temperature 0.9 m Below Ceiling,Bedroom 2,Temperature,0.9 m Below Ceiling,Temperature,Bedroom_2_Temperature
Bedroom 2 Temperature 1.2 m Below Ceiling,Bedroom 2,Temperature,1.2 m Below Ceiling,Temperature,Bedroom_2_Temperature
Bedroom 2 Temperature 1.5 m Below Ceiling,Bedroom 2,Temperature,1.5 m Below Ceiling,Temperature,Bedroom_2_Temperature
Bedroom 2 Temperature 1.8 m Below Ceiling,Bedroom 2,Temperature,1.8 m Below Ceiling,Temperature,Bedroom_2_Temperature
Bedroom 2 Temperature 2.1 m Below Ceiling,Bedroom 2,Temperature,2.1 m Below Ceiling,Temperature,Bedroom_2_Temperature
Window K Temperature 1.2 m Above Sill,Window K,Temperature,1.2 m Above Sill,Temperature,Window_K_Temperature
Window K Velocity 1.2 m Above Sill,Window K,Velocity,1.2 m Above Sill,Velocity,Window_K_Velocity
Window K Temperature 0.96 m Above Sill,Window K,Temperature,0.96 m Above Sill,Temperature,Window_K_Temperature
Window K Velocity 0.96 m Above Sill,Window K,Velocity,0.96 m Above Sill,Velocity,Window_K_Velocity
Window K Temperature 0.72 m Above Sill,Window K,Temperature,0.72 m Above Sill,Temperature,Window_K_Temperature
Window K Velocity 0.72 m Above Sill,Window K,Velocity,0.72 m Above Sill,Velocity,Window_K_Velocity
Window K Temperature 0.48 m Above Sill,Window K,Temperature,0.48 m Above Sill,Temperature,Window_K_Temperature
Window K Velocity 0.48 m Above Sill,Window K,Velocity,0.48 m Above Sill,Velocity,Window_K_Velocity
Window K Temperature 0.24 m Above Sill,Window K,Temperature,0.24 m Above Sill,Temperature,Window_K_Temperature
Window K Velocity 0.24 m Above Sill,Window K,Velocity,0.24 m Above Sill,Velocity,Window_K_Velocity
Bedroom 3 Pressure 0.3 m Below Ceiling,Bedroom 3,Pressure,0.3 m Below Ceiling,Pressure,Bedroom_3_Pressure
Bedroom 3 Pressure 1.2 m Below Ceiling,Bedroom 3,Pressure,1.2 m Below Ceiling,Pressure,Bedroom_3_Pressure
Bedroom 3 Pressure 2.1 m Below Ceiling,Bedroom 3,Pressure,2.1 m Below Ceiling,Pressure,Bedroom_3_Pressure
Bedroom 3 Temperature 0.02 m Below Ceiling,Bedroom 3,Temperature,0.02 m Below Ceiling,Temperature,Bedroom_3_Temperature
Bedroom 3 Temperature 0.3 m Below Ceiling,Bedroom 3,Temperature,0.3 m Below Ceiling,Temperature,Bedroom_3_Temperature
Bedroom 3 Temperature 0.6 m Below Ceiling,Bedroom 3,Temperature,0.6 m Below Ceiling,Temperature,Bedroom_3_Temperature
Bedroom 3 Temperature 0.9 m Below Ceiling,Bedroom 3,Temperature,0.9 m Below Ceiling,Temperature,Bedroom_3_Temperature
Bedroom 3 Temperature 1.2 m Below Ceiling,Bedroom 3,Temperature,1.2 m Below Ceiling,Temperature,Bedroom_3_Temperature
Bedroom 3 Temperature 1.5 m Below Ceiling,Bedroom 3,Temperature,1.5 m Below Ceiling,Temperature,Bedroom_3_Temperature
Bedroom 3 Temperature 1.8 m Below Ceiling,Bedroom 3,Temperature,1.8 m Below Ceiling,Temperature,Bedroom_3_Temperature
Bedroom 3 Temperature 2.1 m Below Ceiling,Bedroom 3,Temperature,2.1 m Below Ceiling,Temperature,Bedroom_3_Temperature
Window L Temperature 1.2 m Above Sill,Window L,Temperature,1.2 m Above Sill,Temperature,Window_L_Temperature
Window L Velocity 1.2 m Above Sill,Window L,Velocity,1.2 m Above Sill,Velocity,Window_L_Velocity
Window L Temperature 0.96 m Above Sill,Window L,Temperature,0.96 m Above Sill,Temperature,Window_L_Temperature
Window L Velocity 0.96 m Above Sill,Window L,Velocity,0.96 m Above Sill,Velocity,Window_L_Velocity
Window L Temperature 0.72 m Above Sill,Window L,Temperature,0.72 m Above Sill,Temperature,Window_L_Temperature
Window L Velocity 0.72 m Above Sill,Window L,Velocity,0.72 m Above Sill,Velocity,Window_L_Velocity
Window L Temperature 0.48 m Above Sill,Window L,Temperature,0.48 m Above Sill,Temperature,Window_L_Temperature
Window L Velocity 0.48 m Above Sill,Window L,Velocity,0.48 m Above Sill,Velocity,Window_L_Velocity
Window L Temperature 0.24 m Above Sill,Window L,Temperature,0.24 m Above Sill,Temperature,Window_L_Temperature
Window L Velocity 0.24 m Above Sill,Window L,Velocity,0.24 m Above Sill,Velocity,Window_L_Velocity
Bedroom 4 Pressure 0.3 m Below Ceiling,Bedroom 4,Pressure,0.3 m Below Ceiling,Pressure,Bedroom_4_Pressure
Bedroom 4 Pressure 1.2 m Below Ceiling,Bedroom 4,Pressure,1.2 m Below Ceiling,Pressure,Bedroom_4_Pressure
Bedroom 4 Pressure 2.1 m Below Ceiling,Bedroom 4,Pressure,2.1 m Below Ceiling,Pressure,Bedroom_4_Pressure
Bedroom 4 Temperature 0.02 m Below Ceiling,Bedroom 4,Temperature,0.02 m Below Ceiling,Temperature,Bedroom_4_Temperature
Bedroom 4 Temperature 0.3 m Below Ceiling,Bedroom 4,Temperature,0.3 m Below Ceiling,Temperature,Bedroom_4_Temperature
Bedroom 4 Temperature 0.6 m Below Ceiling,Bedroom 4,Temperature,0.6 m Below Ceiling,Temperature,Bedroom_4_Temperature
Bedroom 4 Temperature 0.9 m Below Ceiling,Bedroom 4,Temperature,0.9 m Below Ceiling,Temperature,Bedroom_4_Temperature
Bedroom 4 Temperature 1.2 m Below Ceiling,Bedroom 4,Temperature,1.2 m Below Ceiling,Temperature,Bedroom_4_Temperature
Bedroom 4 Temperature 1.5 m Below Ceiling,Bedroom 4,Temperature,1.5 m Below Ceiling,Temperature,Bedroom_4_Temperature
Bedroom 4 Temperature 1.8 m Below Ceiling,Bedroom 4,Temperature,1.8 m Below Ceiling,Temperature,Bedroom_4_Temperature
Bedroom 4 Temperature 2.1 m Below Ceiling,Bedroom 4,Temperature,2.1 m Below Ceiling,Temperature,Bedroom_4_Temperature
Window E Temperature 1.2 m Above Sill,Window E,Temperature,1.2 m Above Sill,Temperature,Window_E_Temperature
Window E Velocity 1.2 m Above Sill,Window E,Velocity,1.2 m Above Sill,Velocity,Window_E_Velocity
Window E Temperature 0.96 m Above Sill,Window E,Temperature,0.96 m Above Sill,Temperature,Window_E_Temperature
Window E Velocity 0.96 m Above Sill,Window E,Velocity,0.96 m Above Sill,Velocity,Window_E_Velocity
Window E Temperature 0.72 m Above Sill,Window E,Temperature,0.72 m Above Sill,Temperature,Window_E_Temperature
Window E Velocity 0.72 m Above Sill,Window E,Velocity,0.72 m Above Sill,Velocity,Window_E_Velocity
Window E Temperature 0.48 m Above Sill,Window E,Temperature,0.48 m Above Sill,Temperature,Window_E_Temperature
Window E Velocity 0.48 m Above Sill,Window E,Velocity,0.48 m Above Sill,Velocity,Window_E_Velocity
Window E Temperature 0.24 m Above Sill,Window E,Temperature,0.24 m Above Sill,Temperature,Window_E_Temperature
Window E Velocity 0.24 m Above Sill,Window E,Velocity,0.24 m Above Sill,Velocity,Window_E_Velocity
Front Door Pressure 0.3 m Below Ceiling,Front Door,Pressure,0.3 m Below Ceiling,Pressure,Front_Door_Pressure
Front Door Pressure 1.2 m Below Ceiling,Front Door,Pressure,1.2 m Below Ceiling,Pressure,Front_Door_Pressure
Front Door Pressure 2.1 m Below Ceiling,Front Door,Pressure,2.1 m Below Ceiling,Pressure,Front_Door_Pressure
End Hall  Temperature 0.02 m Below Ceiling,End Hall ,Temperature,0.02 m Below Ceiling,Temperature,End_Hall_Temperature
End Hall  Temperature 0.3 m Below Ceiling,End Hall ,Temperature,0.3 m Below Ceiling,Temperature,End_Hall_Temperature
End Hall  Temperature 0.6 m Below Ceiling,End Hall ,Temperature,0.6 m Below Ceiling,Temperature,End_Hall_Temperature
End Hall  Temperature 0.9 m Below Ceiling,End Hall ,Temperature,0.9 m Below Ceiling,Temperature,End_Hall_Temperature
End Hall  Temperature 1.2 m Below Ceiling,End Hall ,Temperature,1.2 m Below Ceiling,Temperature,End_Hall_Temperature
End Hall  Temperature 1.5 m Below Ceiling,End Hall ,Temperature,1.5 m Below Ceiling,Temperature,End_Hall_Temperature
End Hall  Temperature 1.8 m Below Ceiling,End Hall ,Temperature,1.8 m Below Ceiling,Temperature,End_Hall_Temperature
End Hall  Temperature 2.1 m Below Ceiling,End Hall ,Temperature,2.1 m Below Ceiling,Temperature,End_Hall_Temperature
Window A Temperature 0.64 m Above Sill,Window A,Temperature,0.64 m Above Sill,Temperature,Window_A_Temperature
Window A Velocity 0.64 m Above Sill,Window A,Velocity,0.64 m Above Sill,Velocity,Window_A_Velocity
Window A Temperature 0.43 m Above Sill,Window A,Temperature,0.43 m Above Sill,Temperature,Window_A_Temperature
Window A Velocity 0.43 m Above Sill,Window A,Velocity,0.43 m Above Sill,Velocity,Window_A_Velocity
Window A Temperature 0.21 m Above Sill,Window A,Temperature,0.21 m Above Sill,Temperature,Window_A_Temperature
Window A Velocity 0.21 m Above Sill,Window A,Velocity,0.21 m Above Sill,Velocity,Window_A_Velocity
Living Room Pressure 0.3 m Below Ceiling,Living Room,Pressure,0.3 m Below Ceiling,Pressure,Living_Room_Pressure
Living Room Pressure 1.2 m Below Ceiling,Living Room,Pressure,1.2 m Below Ceiling,Pressure,Living_Room_Pressure
Living Room Pressure 2.1 m Below Ceiling,Living Room,Pressure,2.1 m Below Ceiling,Pressure,Living_Room_Pressure
Mid Hall Temperature 0.02 m Below Ceiling,Mid Hall,Temperature,0.02 m Below Ceiling,Temperature,Mid_Hall_Temperature
Mid Hall Temperature 0.3 m Below Ceiling,Mid Hall,Temperature,0.3 m Below Ceiling,Temperature,Mid_Hall_Temperature
Mid Hall Temperature 0.6 m Below Ceiling,Mid Hall,Temperature,0.6 m Below Ceiling,Temperature,Mid_Hall_Temperature
Mid Hall Temperature 0.9 m Below Ceiling,Mid Hall,Temperature,0.9 m Below Ceiling,Temperature,Mid_Hall_Temperature
Mid Hall Temperature 1.2 m Below Ceiling,Mid Hall,Temperature,1.2 m Below Ceiling,Temperature,Mid_Hall_Temperature
Mid Hall Temperature 1.5 m Below Ceiling,Mid Hall,Temperature,1.5 m Below Ceiling,Temperature,Mid_Hall_Temperature
Mid Hall Temperature 1.8 m Below Ceiling,Mid Hall,Temperature,1.8 m Below Ceiling,Temperature,Mid_Hall_Temperature
Mid Hall Temperature 2.1 m Below Ceiling,Mid Hall,Temperature,2.1 m Below Ceiling,Temperature,Mid_Hall_Temperature
Den Pressure 0.3 m Below Ceiling,Den,Pressure,0.3 m Below Ceiling,Pressure,Den_Pressure
Den Pressure 1.2 m Below Ceiling,Den,Pressure,1.2 m Below Ceiling,Pressure,Den_Pressure
Den Pressure 2.1 m Below Ceiling,Den,Pressure,2.1 m Below Ceiling,Pressure,Den_Pressure
Family Room Center Temperature 0.02 m Below Ceiling,Family Room Center,Temperature,0.02 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 0.3 m Below Ceiling,Family Room Center,Temperature,0.3 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 0.6 m Below Ceiling,Family Room Center,Temperature,0.6 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 0.9 m Below Ceiling,Family Room Center,Temperature,0.9 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 1.2 m Below Ceiling,Family Room Center,Temperature,1.2 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 1.5 m Below Ceiling,Family Room Center,Temperature,1.5 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 1.8 m Below Ceiling,Family Room Center,Temperature,1.8 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 2.1 m Below Ceiling,Family Room Center,Temperature,2.1 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 2.4 m Below Ceiling,Family Room Center,Temperature,2.4 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 2.7 m Below Ceiling,Family Room Center,Temperature,2.7 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 3.0 m Below Ceiling,Family Room Center,Temperature,3.0 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 3.3 m Below Ceiling,Family Room Center,Temperature,3.3 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 3.6 m Below Ceiling,Family Room Center,Temperature,3.6 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 3.9 m Below Ceiling,Family Room Center,Temperature,3.9 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 4.2 m Below Ceiling,Family Room Center,Temperature,4.2 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Center Temperature 4.5 m Below Ceiling,Family Room Center,Temperature,4.5 m Below Ceiling,Temperature,Family_Room_Center_Temperature
Family Room Pressure 0.3 m Below Ceiling,Family Room,Pressure,0.3 m Below Ceiling,Pressure,Family_Room_Pressure
Family Room Pressure 2.4 m Below Ceiling,Family Room,Pressure,2.4 m Below Ceiling,Pressure,Family_Room_Pressure
Family Room Pressure 4.6 m Below Ceiling,Family Room,Pressure,4.6 m Below Ceiling,Pressure,Family_Room_Pressure
Den Temperature 0.02 m Below Ceiling,Den,Temperature,0.02 m Below Ceiling,Temperature,Den_Temperature
Den Temperature 0.3 m Below Ceiling,Den,Temperature,0.3 m Below Ceiling,Temperature,Den_Temperature
Den Temperature 0.6 m Below Ceiling,Den,Temperature,0.6 m Below Ceiling,Temperature,Den_Temperature
Den Temperature 0.9 m Below Ceiling,Den,Temperature,0.9 m Below Ceiling,Temperature,Den_Temperature
Den Temperature 1.2 m Below Ceiling,Den,Temperature,1.2 m Below Ceiling,Temperature,Den_Temperature
Den Temperature 1.5 m Below Ceiling,Den,Temperature,1.5 m Below Ceiling,Temperature,Den_Temperature
Den Temperature 1.8 m Below Ceiling,Den,Temperature,1.8 m Below Ceiling,Temperature,Den_Temperature
Den Temperature 2.1 m Below Ceiling,Den,Temperature,2.1 m Below Ceiling,Temperature,Den_Temperature
